Date,Open,High,Low,Close,Adj Close,Volume
2015-10-20,104.050003,104.349998,103.419998,103.839996,85.618568,4872200
2015-10-21,103.980003,104.250000,102.080002,102.540001,84.546677,7979600
2015-10-22,110.400002,111.000000,108.379997,110.870003,91.414955,25286600
2015-10-23,111.180000,112.870003,111.099998,112.589996,92.833153,11677300
2015-10-26,112.230003,113.959999,111.820000,112.180000,92.495094,11478600
2015-10-27,112.269997,112.349998,110.589996,111.639999,92.049850,10013300
2015-10-28,111.690002,112.949997,111.400002,112.940002,93.121727,4390300
2015-10-29,112.660004,112.949997,111.889999,112.620003,92.857864,3752600
2015-10-30,112.879997,113.290001,112.250000,112.250000,92.552818,6409500
2015-11-02,112.459999,112.839996,111.230003,112.110001,92.437363,5663000
2015-11-03,111.919998,112.309998,111.269997,112.080002,92.412628,4584900
2015-11-04,112.190002,112.529999,111.309998,112.400002,92.676453,6797100
2015-11-05,112.599998,113.449997,112.150002,112.849998,93.047508,5059100
2015-11-06,112.400002,113.440002,112.160004,113.309998,93.426788,4615600
2015-11-09,113.449997,113.480003,112.400002,112.930000,93.113487,8423800
2015-11-10,112.769997,114.989998,110.750000,113.220001,93.352615,12716500
2015-11-11,113.669998,114.430000,113.540001,113.849998,93.872047,8387800
2015-11-12,113.500000,113.739998,112.059998,112.110001,92.437363,5893800
2015-11-13,111.849998,112.360001,109.910004,109.970001,90.672897,8602400
2015-11-16,109.849998,111.059998,109.599998,111.059998,91.571632,6731800
2015-11-17,111.040001,111.820000,110.459999,110.940002,91.472687,6027600
2015-11-18,111.300003,112.589996,110.839996,112.529999,92.783684,5194500
2015-11-19,112.529999,113.709999,112.300003,113.300003,93.418556,5323500
2015-11-20,113.360001,114.169998,113.190002,113.910004,93.921509,6659400
2015-11-23,114.010002,114.900002,113.910004,114.470001,94.383247,4968400
2015-11-24,113.900002,114.559998,113.360001,114.279999,94.226585,6047700
2015-11-25,114.269997,114.919998,113.949997,114.400002,94.325523,7477200
2015-11-27,113.709999,114.389999,113.529999,114.230003,94.923843,2763700
2015-11-30,114.379997,114.489998,113.559998,114.160004,94.865685,7872000
2015-12-01,114.519997,114.930000,113.790001,114.449997,95.106651,5321900
2015-12-02,114.099998,114.269997,113.449997,113.720001,94.500038,5692200
2015-12-03,113.610001,114.440002,112.910004,113.389999,94.225800,6558600
2015-12-04,113.750000,116.389999,113.419998,116.199997,96.560890,7778200
2015-12-07,115.809998,116.510002,115.750000,116.419998,96.743706,4810700
2015-12-08,115.949997,116.860001,115.260002,116.529999,96.835121,4814200
2015-12-09,116.209999,117.300003,115.900002,116.580002,96.876701,7604700
2015-12-10,116.610001,117.510002,116.199997,117.199997,97.391876,5299900
2015-12-11,115.860001,116.610001,115.620003,116.080002,96.461151,5736400
2015-12-14,116.169998,117.070000,114.650002,116.260002,96.610756,7660700
2015-12-15,117.500000,118.239998,116.839996,116.930000,97.167526,6118300
2015-12-16,117.489998,118.750000,116.489998,117.839996,97.923714,6306300
2015-12-17,118.339996,118.900002,117.489998,117.500000,97.641159,5275900
2015-12-18,116.739998,117.279999,115.889999,116.660004,96.943138,11238900
2015-12-21,116.959999,117.739998,116.610001,117.690002,97.799072,3344600
2015-12-22,117.959999,118.040001,116.639999,117.720001,97.824020,4092000
2015-12-23,118.019997,118.849998,117.750000,118.800003,98.721451,3641900
2015-12-24,118.750000,118.989998,118.500000,118.570000,98.530319,1659300
2015-12-28,118.099998,118.900002,118.050003,118.750000,98.679909,2777200
2015-12-29,119.000000,120.230003,118.820000,120.070000,99.776810,3213900
2015-12-30,119.639999,119.989998,119.230003,119.430000,99.244972,2400800
2015-12-31,118.820000,119.180000,117.940002,118.139999,98.173004,3723200
2016-01-04,117.250000,117.730003,115.870003,117.580002,97.707657,9995000
2016-01-05,117.410004,119.230003,117.290001,119.199997,99.053856,6314000
2016-01-06,118.000000,119.269997,117.809998,118.400002,98.389084,6543800
2016-01-07,117.440002,117.970001,115.589996,115.660004,96.112167,7477900
2016-01-08,115.750000,117.470001,115.260002,115.480003,95.962578,6103400
2016-01-11,115.650002,117.059998,115.580002,116.690002,96.968056,6392400
2016-01-12,117.029999,117.739998,116.169998,117.440002,97.591309,5639700
2016-01-13,117.690002,117.870003,115.080002,115.120003,95.663429,6986000
2016-01-14,115.589996,117.129997,113.000000,116.620003,96.909889,9204500
